City,Delivery_Time_min,Revenue,Restaurant
Mumbai,35.0,1335.14,Burger King
Chennai,39.4,1383.21,KFC
Delhi,46.9,450.99,Domino's
Bangalore,44.5,1195.41,Pizza Hut
Mumbai,20.2,1577.51,Taco Bell
Pune,10.0,1072.96,Subway
Pune,44.3,172.39,Subway
Chennai,21.3,166.72,Pizza Hut
Delhi,32.8,810.5,Pizza Hut
Mumbai,23.3,1863.46,Subway
Delhi,17.0,573.05,Taco Bell
Mumbai,40.4,1323.57,Domino's
Chennai,42.6,560.84,Subway
Chennai,29.2,745.09,Pizza Hut
Pune,10.0,1718.88,KFC
Delhi,29.5,1498.39,Burger King
Pune,38.9,326.49,Taco Bell
Delhi,20.2,943.1,Taco Bell
Pune,36.8,203.96,KFC
Bangalore,34.8,1039.65,KFC
Bangalore,40.8,1375.5,Pizza Hut
Bangalore,36.2,369.23,Subway
Bangalore,25.3,684.44,Domino's
Mumbai,47.0,886.0,Taco Bell
Bangalore,33.4,1851.13,Taco Bell
Chennai,34.7,1987.52,KFC
Chennai,25.7,233.09,Subway
Mumbai,30.6,1557.86,Taco Bell
Bangalore,26.2,837.69,Domino's
Bangalore,33.3,876.05,KFC
Bangalore,52.1,1545.39,Domino's
Pune,21.3,1849.09,Subway
Delhi,18.9,1909.22,Taco Bell
Pune,49.7,1217.68,Burger King
Delhi,32.9,810.67,Taco Bell
Bangalore,28.3,1606.97,Subway
Bangalore,45.4,614.35,Taco Bell
Pune,28.9,1193.54,Taco Bell
Pune,53.3,813.37,Pizza Hut
Delhi,41.8,1364.77,Taco Bell
Chennai,30.1,594.74,Taco Bell
Delhi,56.6,504.45,Domino's
Pune,28.9,1848.74,Burger King
Pune,42.4,338.34,Domino's
Mumbai,38.0,1086.02,Domino's
Pune,48.0,558.58,KFC
Mumbai,50.6,222.02,Pizza Hut
Chennai,35.3,216.63,Domino's
Delhi,27.5,474.16,Subway
Delhi,39.6,1753.53,Subway
Mumbai,28.2,672.59,Taco Bell
Delhi,55.1,1908.35,KFC
Pune,36.4,1226.0,Pizza Hut
Bangalore,31.3,957.74,Pizza Hut
Mumbai,36.8,1223.16,Taco Bell
Delhi,21.5,1105.89,Subway
Mumbai,25.3,1553.74,Burger King
Mumbai,47.0,672.62,KFC
Bangalore,28.4,803.14,Taco Bell
Pune,24.5,1804.07,KFC
Mumbai,40.4,1900.94,Subway
Delhi,46.9,1801.23,Subway
Chennai,42.2,925.98,Burger King
Mumbai,45.0,1593.68,Burger King
Mumbai,27.4,1031.22,Pizza Hut
Bangalore,20.8,1070.45,KFC
Pune,50.0,528.66,KFC
Chennai,31.8,1243.59,Subway
Delhi,32.5,494.35,Pizza Hut
Chennai,48.3,763.39,Taco Bell
Delhi,40.6,1731.81,KFC
Pune,39.6,533.09,Pizza Hut
Delhi,56.7,281.64,Pizza Hut
Bangalore,28.6,277.66,Subway
Bangalore,44.3,1890.45,Pizza Hut
Bangalore,35.6,1087.8,Burger King
Bangalore,37.7,907.41,Burger King
Chennai,50.3,1650.13,Domino's
Pune,40.1,1696.28,Subway
Delhi,40.4,764.55,Taco Bell
Delhi,45.7,1433.19,Domino's
Bangalore,31.4,1576.58,Burger King
Bangalore,26.6,1361.1,Domino's
Mumbai,24.6,430.45,Subway
Pune,15.3,1770.38,Subway
Chennai,55.6,1147.32,Pizza Hut
Delhi,24.0,672.57,KFC
Mumbai,32.8,936.67,Pizza Hut
Mumbai,32.2,219.51,Subway
Delhi,38.1,386.55,Burger King
Chennai,43.2,1566.26,Taco Bell
Mumbai,43.6,150.02,Burger King
Mumbai,29.2,920.65,Pizza Hut
Pune,33.3,1116.64,Taco Bell
Chennai,37.8,251.07,Subway
Mumbai,32.5,1950.19,Burger King
Chennai,51.1,568.33,Subway
Delhi,39.9,712.77,Taco Bell
Bangalore,42.3,712.29,Taco Bell
Mumbai,41.6,576.27,Burger King
Pune,46.7,152.73,Subway
Delhi,36.8,1499.29,Domino's
Chennai,22.0,1938.66,Subway
Delhi,39.0,564.94,Taco Bell
Mumbai,28.5,1376.64,Subway
Chennai,29.7,1522.51,Pizza Hut
Bangalore,40.9,1719.59,Domino's
Delhi,47.4,931.86,KFC
Mumbai,35.2,710.42,Pizza Hut
Pune,38.1,751.8,KFC
Chennai,52.0,1468.35,Burger King
Delhi,37.4,1661.04,KFC
Delhi,61.0,485.99,Subway
Bangalore,40.7,836.24,KFC
Bangalore,17.4,1818.59,Taco Bell
Pune,42.5,1642.38,Pizza Hut
Pune,38.8,1971.99,Pizza Hut
Mumbai,47.9,1545.36,KFC
Mumbai,41.7,877.41,Pizza Hut
Pune,33.6,1242.68,Taco Bell
Pune,22.8,1372.88,Pizza Hut
Chennai,32.9,295.14,KFC
Bangalore,26.5,1157.32,Domino's
Mumbai,29.2,1462.24,Domino's
Bangalore,40.9,459.54,Burger King
Bangalore,51.7,1594.17,Pizza Hut
Pune,38.9,1229.98,KFC
Chennai,23.0,1911.61,Pizza Hut
Delhi,39.4,228.48,Subway
Chennai,47.0,640.85,Taco Bell
Chennai,28.9,1262.87,Pizza Hut
Bangalore,33.7,698.64,Pizza Hut
Chennai,35.1,1471.68,Domino's
Mumbai,27.2,1554.16,Taco Bell
Bangalore,41.5,339.65,KFC
Mumbai,33.8,1100.63,Pizza Hut
Delhi,39.2,1091.45,Domino's
Bangalore,26.1,833.17,Burger King
Delhi,30.6,1875.91,Taco Bell
Bangalore,42.2,1680.89,Domino's
Pune,31.3,1439.84,Domino's
Chennai,52.3,1471.5,Domino's
Pune,31.0,1004.17,Pizza Hut
Delhi,37.2,1853.84,Pizza Hut
Chennai,44.3,1435.0,Burger King
Bangalore,20.8,1498.61,Subway
Chennai,17.4,1744.13,Subway
Mumbai,19.7,657.03,Subway
Chennai,47.6,1643.08,Taco Bell
Mumbai,29.5,511.2,Taco Bell
Chennai,60.6,788.88,Burger King
Mumbai,29.4,770.88,Taco Bell
Delhi,36.8,1960.27,Subway
Pune,50.4,1734.59,Subway
Bangalore,55.1,1447.16,Domino's
Chennai,55.6,1495.06,Taco Bell
Pune,47.1,1189.83,Pizza Hut
Bangalore,45.2,1902.12,Pizza Hut
Bangalore,40.9,1068.08,Domino's
Mumbai,42.8,853.96,Domino's
Delhi,29.5,451.62,Domino's
Delhi,26.8,1604.48,Pizza Hut
Pune,35.0,1508.72,Subway
Delhi,33.3,861.06,Domino's
Chennai,30.5,196.61,Burger King
Delhi,42.0,1702.15,Domino's
Pune,44.6,171.12,KFC
Delhi,35.9,1451.84,Domino's
Chennai,49.8,1944.98,Pizza Hut
Mumbai,23.6,959.67,Taco Bell
Pune,33.1,584.7,Domino's
Mumbai,27.8,1454.01,Taco Bell
Mumbai,16.3,1661.69,KFC
Mumbai,34.2,1160.9,Burger King
Bangalore,33.8,1939.02,Taco Bell
Bangalore,50.1,245.59,Subway
Mumbai,41.3,1083.87,Domino's
Pune,24.8,1479.14,KFC
Chennai,53.5,1745.88,KFC
Chennai,47.2,481.62,Taco Bell
Delhi,40.8,1630.01,Burger King
Pune,32.7,1172.51,Pizza Hut
Bangalore,25.4,883.62,Domino's
Mumbai,31.3,393.67,KFC
Delhi,45.9,1750.8,Burger King
Chennai,53.8,440.96,Subway
Bangalore,50.4,723.11,KFC
Bangalore,30.1,686.58,Burger King
Mumbai,23.8,1762.12,Pizza Hut
Chennai,36.4,1394.5,Pizza Hut
Pune,17.3,1623.86,KFC
Bangalore,38.2,613.37,KFC
Mumbai,33.5,1306.02,Taco Bell
Pune,30.3,1207.73,Domino's
Chennai,19.1,1690.74,Burger King
Bangalore,40.1,1826.26,KFC
Pune,29.7,172.49,Domino's
Pune,23.3,1396.94,Taco Bell
Pune,10.0,245.9,Domino's
Bangalore,34.7,1165.39,KFC
Bangalore,52.7,682.12,Pizza Hut
Delhi,51.6,717.54,Burger King
Chennai,30.4,802.97,Burger King
Mumbai,29.0,1299.39,Pizza Hut
Pune,39.7,767.99,KFC
Delhi,25.0,1505.49,Burger King
Mumbai,38.0,898.38,KFC
Delhi,42.7,276.45,Taco Bell
Bangalore,47.3,1599.96,KFC
Pune,34.0,678.65,Domino's
Mumbai,33.0,950.62,Pizza Hut
Mumbai,26.2,1418.07,KFC
Mumbai,26.7,765.04,Taco Bell
Mumbai,32.7,254.68,Subway
Mumbai,38.7,841.75,Pizza Hut
Delhi,44.1,1897.23,Burger King
Pune,27.0,1337.21,Domino's
Bangalore,49.9,1392.24,Burger King
Bangalore,32.3,1319.72,Taco Bell
Bangalore,34.8,518.14,Taco Bell
Bangalore,27.5,923.92,Burger King
Delhi,10.8,1539.24,Pizza Hut
Chennai,43.8,337.54,Burger King
Pune,42.4,664.03,KFC
Mumbai,32.2,661.19,Burger King
Chennai,35.7,949.24,Domino's
Bangalore,40.2,1963.68,Domino's
Chennai,19.4,274.88,Subway
Pune,29.7,1109.6,Domino's
Mumbai,42.9,481.82,Burger King
Mumbai,22.5,1945.75,Domino's
Pune,37.9,359.61,Pizza Hut
Pune,21.4,896.66,Domino's
Bangalore,39.7,1515.09,KFC
Mumbai,34.6,1453.43,Pizza Hut
Chennai,18.8,932.05,Subway
Delhi,46.6,791.07,KFC
Delhi,27.7,885.58,Burger King
Pune,26.9,638.91,Burger King
Bangalore,37.0,529.87,Burger King
Delhi,46.5,1043.62,KFC
Mumbai,24.8,646.79,KFC
Pune,35.6,681.8,KFC
Chennai,39.3,1365.0,Pizza Hut
Pune,41.9,1941.79,Taco Bell
Chennai,36.8,1266.73,Pizza Hut
Pune,31.3,292.41,Burger King
Pune,26.7,289.83,Taco Bell
Pune,35.9,1910.13,Domino's
Chennai,24.3,699.99,Burger King
Chennai,10.0,320.32,Subway
Pune,39.4,1258.23,Pizza Hut
Delhi,44.0,1303.75,KFC
Bangalore,11.4,1349.73,Pizza Hut
Bangalore,24.9,644.69,KFC
Bangalore,41.2,177.95,Taco Bell
Chennai,55.6,1935.28,Subway
Chennai,35.2,614.15,Taco Bell
Delhi,27.7,1400.65,Subway
Bangalore,33.2,1457.27,Pizza Hut
Bangalore,48.7,1278.51,KFC
Pune,28.5,728.88,Taco Bell
Chennai,27.0,651.53,Subway
Bangalore,30.2,1255.69,Burger King
Delhi,25.5,1752.28,Burger King
Delhi,36.2,1901.46,Taco Bell
Bangalore,51.2,345.93,KFC
Chennai,38.2,436.43,Taco Bell
Delhi,32.5,1897.76,Pizza Hut
Pune,32.1,1512.59,Subway
Delhi,19.4,1783.54,Pizza Hut
Mumbai,43.8,524.87,Burger King
Mumbai,34.2,1237.03,Subway
Chennai,33.2,1447.11,Taco Bell
Bangalore,66.9,1408.21,Pizza Hut
